,House member,political_party,number_of_terms,gender,university,age,ethnicity,religion,leadership_role ,previous_experience,veteran_status,rural_urban ,field_study,school_status,state,kids,degree_status,voting_privilege,,,,
HM001,Barry Moore,1,3,1,3,59,0,0,0,2,1,1,3,0,Alabama,4,1,1,,,,
HM002,Shomari Figures,2,1,1,1,40,1,0,0,0,0,0,1,0,Alabama,3,3,1,,,,
HM003,Mike Rogers,1,12,1,3,67,0,0,1,2,0,1,0,1,Alabama,3,3,1,,,,
HM004,Robert Aderholt,1,15,1,3,60,0,0,0,2,0,0,0,1,Alabama,2,3,1,,,,
HM005,Dale Strong,1,2,1,1,55,0,0,0,2,0,2,2,0,Alabama,2,1,1,,,,
HM006,Gary Palmer,1,6,1,3,71,0,0,0,2,0,1,3,0,Alabama,3,1,1,,,,
HM007,Terri Sewell,2,7,2,1,60,1,2,0,1,0,2,2,0,Alabama,0,3,1,,,,
HM008,Nicholas Begich,1,0,1,0,47,5,2,0,2,0,3,1,0,Alaska,3,3,1,,,,
HM009,Amata Coleman Radewagen,1,5,2,0,77,5,2,0,2,0,3,1,0,American Samoa,1,2,0,,,,
HM010,David Schweikert,1,7,1,0,62,5,2,0,2,0,1,1,0,Arizona,2,3,1,,,,
HM011,Eli Crane,1,1,1,0,44,5,2,0,2,1,1,1,0,Arizona,2,2,1,,,,
HM012,Yassamin Ansari,2,1,2,1,33,5,6,2,1,0,1,1,0,Arizona,0,3,1,,,,
HM013,Greg Stanton,2,2,2,1,55,0,0,0,1,1,1,1,0,Arizona ,2,3,1,,,,
HM014,Andy Biggs,1,5,1,1,66,0,0,0,2,1,1,1,0,Arizona,6,3,1,,,,
HM015,Juan Ciscomani,1,1,1,1,42,2,0,0,2,1,1,0,0,Arizona,6,1,1,,,,
HM016,Adelita Grijalva,2,0,0,1,54,2,6,0,1,1,2,4,0,Arizona,3,2,1,,,,
HM017,Rick Crawford,1,7,1,1,58,0,0,0,2,0,0,4,0,Arkansas,2,1,1,,,,
HM018,French Hill,1,5,1,1,68,0,0,0,2,1,1,2,1,Arkansas ,2,1,1,,,,
HM019,Steve Womack,1,7,1,1,68,0,0,0,2,0,0,4,0,Arkansas,3,1,1,,,,
HM020,Bruce Westerman,1,5,1,1,57,0,0,1,2,1,0,3,0,Arkansas,4,2,1,,,,
HM021,Doug LaMalfa,1,7,1,2,65,0,0,0,2,1,0,2,0,California ,4,1,1,,,,
HM022,Jared Huffman,2,7,1,3,61,0,5,0,1,1,0,0,0,California ,2,3,1,,,,
HM023,Kevin Kiley,1,2,1,5,40,0,0,0,2,1,0,4,1,California ,0,3,1,,,,
HM024,Mike Thompson,2,14,1,3,74,0,0,1,1,0,2,4,0,California ,2,3,1,,,,
HM025,Tom McClintock,1,9,1,1,69,0,0,1,2,1,1,0,0,California ,2,1,1,,,,
HM026,Ami Bera,2,7,1,1,60,3,6,1,0,1,1,2,0,California ,1,3,1,,,,
HM027,Doris Matsui,2,11,0,1,81,3,0,0,2,1,2,4,0,California ,1,1,1,,,,
HM028,"Garamendi, John",2,8,1,1,79,0,0,0,1,0,1,0,0,California ,6,3,1,,,,
HM029,"Harder, Josh",2,3,1,1,38,0,0,0,1,1,1,2,1,California ,2,2,1,,,,
HM030,"DeSaulnier, Mark",2,19,0,0,85,0,0,2,1,1,2,1,1,California ,5,3,1,,,,
HM031,"Pelosi, Nancy",2,19,0,1,85,0,0,2,1,1,2,1,1,California ,5,1,1,,,,
HM032,"Simon, Lateefah",2,0,0,1,47,1,5,0,1,1,2,4,0,California ,1,1,1,,,,
HM033,"Gray, Adam",2,1,1,1,40,2,0,0,1,1,1,0,0,California ,2,1,1,,,,
HM034,"Swalwell, Eric",2,6,1,1,43,0,0,0,1,1,1,1,0,California ,3,2,1,,,,
HM035,"Mullin, Kevin",2,2,1,1,54,0,0,0,1,1,1,0,0,California ,2,2,1,,,,
HM036,"Liccardo, Sam",2,0,1,1,53,0,0,0,1,1,2,1,0,California ,0,3,1,,,,
HM037,"Khanna, Ro",2,4,1,0,48,3,4,0,1,1,2,3,1,California ,2,3,1,,,,
HM038,"Lofgren, Zoe",2,15,0,1,77,0,0,1,1,1,2,0,1,California ,2,3,1,,,,
HM039,"Panetta, Jimmy",2,4,1,1,53,0,0,1,1,0,1,1,1,California ,2,3,1,,,,
HM040,"Fong, Vince",1,1,1,1,45,0,0,0,1,1,1,0,1,California ,0,1,1,,,,
HM041,"Costa, Jim",2,10,1,1,73,2,0,1,1,1,1,0,1,California ,0,1,1,,,,
HM042,"Valadao, David",1,5,1,1,48,2,0,0,2,1,1,2,1,California ,3,1,1,,,,
HM043,"Obernolte, Jay",1,3,1,3,54,0,0,1,2,1,0,3,1,California ,2,3,1,,,,
HM044,"Carbajal, Salud",2,4,1,1,60,2,0,0,1,0,2,4,0,California ,2,2,1,,,,
HM045,"Ruiz, Raul",2,6,1,1,53,2,0,1,1,1,1,3,0,California ,2,3,1,,,,
HM046,"Brownley, Julia",2,6,0,1,72,0,0,1,1,1,1,0,1,California ,2,1,1,,,,
HM047,"Whitesides, George",2,1,1,3,51,0,0,0,2,1,1,3,1,California ,2,3,1,,,,
HM048,"Chu, Judy",2,8,0,3,72,3,0,1,1,1,2,0,1,California ,1,3,1,,,,
HM049,"Rivas, Luz",2,1,0,3,51,2,0,1,1,1,2,3,0,California ,0,3,1,,,,
HM050,"Friedman, Laura",2,1,0,1,58,0,0,0,1,1,2,0,0,California ,1,1,1,,,,
HM051,"Cisneros, Gil",2,1,1,2,54,2,0,0,1,0,1,1,0,California ,2,2,1,,,,
HM052,"Sherman, Brad",2,14,1,1,70,0,2,1,1,1,2,1,0,California ,3,1,1,,,,
HM053,"Aguilar, Pete",2,6,1,1,45,2,0,3,1,1,2,1,0,California ,2,1,1,,,,
HM054,"Gomez, Jimmy",2,5,1,1,50,2,0,0,1,1,2,0,0,California ,0,1,1,,,,
HM055,"Torres, Norma",2,5,0,1,59,2,0,1,1,1,2,4,0,California ,5,1,1,,,,
HM056,"Lieu, Ted",2,5,1,1,56,3,0,1,1,0,2,1,0,California ,2,2,1,,,,
HM057,"Kamlager, Sydney",2,1,0,1,51,1,0,0,1,1,2,0,0,California ,1,2,1,,,,
HM058,"Sánchez, Linda",2,10,0,3,55,2,0,1,1,1,2,1,0,California ,1,1,1,,,,
HM059,"Takano, Mark",2,6,1,1,64,3,5,2,1,1,2,4,0,California ,0,1,1,,,,
HM060,"Kim, Young",1,3,0,1,62,3,0,0,2,1,2,2,1,California ,4,1,1,,,,
HM061,"Calvert, Ken",1,16,1,1,71,0,0,1,2,1,1,2,0,California ,0,1,1,,,,
HM062,"Garcia, Robert",2,1,1,2,47,2,0,1,1,0,2,0,0,California ,2,3,1,,,,
HM063,"Waters, Maxine",2,18,0,1,87,1,0,1,1,1,2,0,0,California ,2,3,1,,,,
HM064,"Barragán, Nanette",2,4,0,1,49,2,0,0,1,1,2,0,0,California ,0,3,1,,,,
HM065,"Tran, Derek",2,1,1,2,44,3,5,0,2,0,2,1,0,California ,3,3,1,,,,
HM066,"Correa, Lou",2,3,1,1,67,2,0,0,1,0,2,0,0,California ,4,1,1,,,,
HM067,"Min, Dave",2,1,1,0,49,3,5,0,1,1,2,1,0,California ,3,3,1,,,,
HM068,"Issa, Darrell",1,9,1,1,71,0,0,0,2,0,1,2,0,California ,1,1,1,,,,
HM069,"Levin, Mike",2,4,1,0,46,0,2,0,1,1,2,1,0,California ,2,3,1,,,,
HM070,"Peters, Scott",2,4,1,0,65,0,0,0,1,1,2,1,0,California ,2,3,1,,,,
HM071,"Jacobs, Sara",2,1,0,0,34,0,5,0,2,1,2,0,0,California ,0,2,1,,,,
HM072,"Vargas, Juan",2,6,1,1,64,2,0,0,1,0,2,0,0,California ,2,2,1,,,,
HM073,Diana DeGette,2,15,0,3,68,0,0,0,1,1,2,4,1,Colorado,2,3,1,,,,
HM074,Joe Neguse,2,3,1,1,41,1,5,1,1,1,1,0,0,Colorado,2,3,1,,,,
HM075,Jeff Hurd,1,1,1,0,46,0,5,0,2,1,0,4,1,Colorado,4,3,1,,,,
HM076,Lauren Boebert,1,3,0,1,38,0,0,0,2,1,0,4,0,Colorado,4,1,1,,,,
HM077,Jeff Crank,1,1,1,1,58,0,5,0,2,1,2,0,0,Colorado,2,1,1,,,,
HM078,Jason Crow,2,4,1,1,46,0,0,0,2,0,1,1,1,Colorado,2,3,1,,,,
HM079,Brittney Petterson,2,1,0,1,41,0,5,0,1,1,2,0,0,Colorado,2,1,1,,,,
HM080,"Evans, Gabe",1,1,1,1,39,2,0,0,2,0,1,4,1,Colorado ,2,1,1,,,,
HM081,"Larson, John",2,14,1,1,77,0,0,1,1,1,2,4,0,Connecticut,3,1,1,,,,
HM082,"Courtney, Joe",2,9,1,1,72,0,5,0,1,,1,1,0,Connecticut,2,3,1,,,,
HM083,"DeLauro, Rosa",2,18,0,1,82,0,0,1,1,1,2,4,1,Connecticut,3,2,1,,,,
HM084,"Himes, James",2,9,1,1,59,0,0,1,1,1,1,2,1,Connecticut,2,3,1,,,,
HM085,"Hayes, Jahana",2,4,0,2,52,1,5,0,1,1,2,4,1,Connecticut ,4,2,1,,,,
HM086,"McBride, Sarah",2,1,2,2,35,0,5,0,1,1,2,4,1,Deleware,0,1,1,,,,
HM087,"Norton, Eleanor",2,18,0,2,88,1,5,0,1,1,2,1,1,District of Columbia,2,3,0,,,,
HM088,"Patronis, Jimmy",1,1,1,1,53,0,0,0,2,1,0,0,0,Florida,2,1,1,,,,
HM089,"Dunn, Neal",1,5,1,1,72,0,5,1,1,0,1,4,1,Florida,3,3,1,,,,
HM090,"Cammack, Kat",1,3,0,1,37,0,0,0,1,1,1,4,0,Florida ,1,2,1,,,,
HM091,"Bean, Aaron",1,1,1,1,58,0,0,0,1,1,2,2,1,Florida,3,1,1,,,,
HM092,"Rutherford, John",1,5,1,1,73,0,0,0,1,1,2,4,0,Flordia,2,1,1,,,,
HM093,"Mills, Cory",1,1,1,1,45,0,5,0,2,0,1,4,1,Florida,2,2,1,,,,
HM094,"Soto, Darren",2,5,1,1,47,2,5,0,1,1,2,1,1,Florida ,0,3,1,,,,
HM095,"Frost, Maxwell",2,1,1,1,28,5,5,1,2,1,2,2,0,Florida,0,0,1,,,,
HM096,"Webster, Daniel",1,7,1,1,76,0,0,1,1,1,2,3,0,Florida,6,1,1,,,,
HM097,"Bilirakis, Gus",1,10,1,1,62,0,0,1,1,1,2,1,1,Florida,4,3,1,,,,
HM098,"Luna, Anna Paulina",1,2,0,1,36,2,5,2,0,0,2,3,0,Florida,1,1,1,,,,
HM099,"Castor, Kathy",2,10,0,1,58,0,0,1,1,1,2,1,0,Florida,2,3,1,,,,
HM100,"Lee, Laurel",1,2,0,1,51,0,5,1,2,1,1,1,0,Florida,3,3,1,,,,
HM101,"Buchanan, Vern",1,9,1,1,74,0,0,1,2,0,2,2,1,Florida,2,3,1,,,,
HM102,"Steube, Greg",1,4,1,1,47,0,0,0,1,0,1,1,0,Florida,1,3,1,,,,
HM103,"Franklin, Scott",1,3,1,1,61,0,0,0,1,0,2,2,1,Florida,3,2,1,,,,
HM104,"Donalds, Byron",1,2,1,1,46,1,5,1,1,1,2,2,0,Florida,3,1,1,,,,
HM105,"Cherfilus-McCormick, Sheila",2,2,0,1,46,1,0,1,2,1,0,1,1,Florida,2,3,1,,,,
HM106,"Mast, Brian",1,5,1,1,45,1,0,1,2,0,2,4,1,Florida,4,1,1,,,,
HM107,"Frankel, Lois",2,6,0,1,77,0,2,0,1,1,2,1,1,Florida,1,3,1,,,,
HM108,"Moskowitz, Jared",2,2,1,1,44,0,2,0,1,1,2,1,1,Florida,0,3,1,,,,
HM109,"Wilson, Frederica",2,8,0,1,82,1,0,1,1,1,2,4,1,Florida ,3,2,1,,,,
HM110,"Wasserman Schultz, Debbie",2,10,0,1,58,0,2,1,1,1,2,0,0,Florida,3,2,1,,,,
HM111,"Díaz-Balart, Mario",1,11,1,1,63,2,0,1,1,1,2,0,0,Florida,1,1,1,,,,
HM112,"Salazar, María Elvira",1,3,0,1,63,2,0,1,2,1,2,4,1,Florida,2,2,1,,,,
HM113,"Giménez, Carlos A.",1,3,1,1,71,2,0,4,1,1,2,4,1,Florida,3,1,1,,,,
HM114,"Carter, Earl",1,5,1,1,68,0,0,0,1,1,1,4,0,Georgia,3,1,1,,,,
HM115,"Bishop, Sanford D.",2,17,1,1,78,1,0,1,1,0,0,1,1,Georgia,1,3,1,,,,
HM116,"Jack, Brian",1,1,1,1,37,1,0,0,2,1,1,4,1,Georgia,0,1,1,,,,
HM117,"Johnson, Hank",2,10,1,1,70,1,3,1,1,1,1,1,0,Georgia,2,3,1,,,,
HM118,"Williams, Nikema",2,3,0,1,47,1,0,0,1,1,2,3,1,Georgia,1,1,1,,,,
HM119,"McBath, Lucy",2,4,0,1,65,1,0,0,2,1,2,0,0,Georgia,2,1,,,,,
HM120,"McCormick, Rich",1,1,1,1,55,0,0,1,1,0,0,2,0,Georgia,3,3,1,,,,
HM121,"Scott, Austin",1,6,1,1,54,0,0,0,1,1,0,2,0,Georgia,2,1,1,,,,
HM122,"Clyde, Andrew",1,2,1,1,60,0,0,0,2,0,0,2,0,Georgia,3,1,1,,,,
HM123,"Collins, Mike",1,1,1,1,55,0,0,0,2,0,0,2,0,Georgia,2,1,1,,,,
HM124,"Loudermilk, Barry",1,5,1,1,59,0,0,0,1,0,0,2,0,Georgia,3,1,1,,,,
HM125,"Allen, Rick W.",1,5,1,1,72,0,0,0,1,0,0,2,0,Georgia,4,1,1,,,,
HM126,"Scott, David",2,11,1,1,78,2,0,0,1,0,1,0,0,Georgia,3,3,1,,,,
HM127,"Greene, Marjorie Taylor",1,2,0,1,50,0,0,0,2,1,0,2,0,Georgia,3,1,1,,,,
HM128,"Moylan, James",1,1,1,1,62,5,0,0,2,0,0,2,0,Guam,2,1,0,,,,
HM129,"Case, Ed",2,5,1,1,71,0,0,0,1,0,1,1,0,Hawaii,3,3,1,,,,
HM130,"Tokuda, Jill",2,1,0,1,48,3,0,0,1,0,1,0,1,Hawaii,2,1,1,,,,
HM131,Russ Fulcher,1,3,1,1,61,0,0,0,1,0,0,2,0,Idaho,2,1,1,,,,
HM132,Michael Simpson,1,13,1,1,73,0,0,1,1,0,0,1,0,Idaho,2,3,1,,,,
HM133,Jonathan Jackson,2,1,1,1,59,1,0,0,1,1,1,2,0,Illinois,3,2,1,,,,
HM134,Robin Kelly,2,6,0,1,58,1,0,0,1,1,1,2,0,Illinois,2,3,1,,,,
HM135,Delia Ramirez,2,1,0,1,41,2,5,0,1,1,2,2,0,Illinois,0,1,1,,,,
HM136,Jesus Garcia,2,3,1,1,67,2,0,0,1,1,1,2,0,Illinois,2,3,1,,,,
HM137,Mike Quigley,2,8,1,1,65,0,0,0,1,1,1,2,1,Illinois,2,3,1,,,,
HM138,Sean Casten,2,3,1,1,52,0,5,0,1,1,1,3,1,Illinois,2,3,1,,,,
HM139,Danny Davis,2,14,1,1,83,1,0,0,1,0,1,2,0,Illinois,2,3,1,,,,
HM140,Raja Krishnamoorthi,2,5,1,1,51,3,4,0,1,1,2,3,1,Illinois,3,3,1,,,,
HM141,Janice Schakowsky,2,13,0,1,80,0,2,0,1,1,2,2,0,Illinois,2,3,1,,,,
HM142,Bradley Schneider,2,6,1,1,63,0,2,0,1,1,2,2,1,Illinois,3,3,1,,,,
HM143,Bill Foster,2,8,1,1,68,0,5,0,1,1,2,3,0,Illinois,2,3,1,,,,
HM144,Mike Bost,1,5,1,1,63,0,0,1,1,0,0,2,0,Illinois,3,1,1,,,,
HM145,Nikki Budzinski,2,1,0,1,47,0,5,0,1,1,1,0,0,Illinois,0,1,1,,,,
HM146,Lauren Underwood,2,3,0,1,38,1,0,0,1,1,2,3,0,Illinois,0,3,1,,,,
HM147,Mary Miller,1,2,0,1,65,0,0,0,2,1,0,0,0,Illinois,7,1,1,,,,
HM148,Darin LaHood,1,5,1,1,56,0,0,0,1,1,0,1,0,Illinois,3,3,1,,,,
HM149,Eric Sorensen,2,1,1,1,47,5,5,0,1,1,2,4,0,Illinois,0,1,1,,,,
HM150,Frank Mrvan,2,2,1,1,54,0,0,0,1,1,1,2,0,Indiana,2,3,1,,,,
HM151,Rudy Yakym,1,1,1,1,40,0,0,0,2,1,0,2,0,Indiana,3,1,1,,,,
HM152,Marlin Stutzman,1,4,1,1,47,0,0,0,1,0,0,2,0,Indiana,4,1,1,,,,
HM153,James Baird,1,3,1,1,78,0,0,0,1,0,0,3,0,Indiana,2,3,1,,,,
HM154,Victoria Spartz,1,2,0,1,46,5,0,0,2,1,1,2,0,Indiana,2,3,1,,,,
HM155,Jefferson Shreve,1,1,1,1,57,0,0,0,2,1,0,2,0,Indiana,2,2,1,,,,
HM156,Andre Carson,2,8,1,1,50,1,6,0,1,1,2,2,0,Indiana,0,3,1,,,,
HM157,Mark Messmer,1,1,1,1,58,0,0,0,1,0,0,2,0,Indiana,3,1,1,,,,
HM158,Erin Houchin,1,1,0,1,47,0,0,0,1,1,0,0,0,Indiana,3,1,1,,,,
HM159,Mariannette Miller-Meeks,1,2,0,1,69,0,0,0,1,0,1,3,0,Iowa,2,3,1,,,,
HM160,Ashley Hinson,1,2,0,1,41,0,0,0,1,1,1,0,0,Iowa,2,1,1,,,,
HM161,Zach Nunn,1,1,1,1,44,0,0,0,1,0,0,3,0,Iowa,3,3,1,,,,
HM162,Randy Feenstra,1,2,1,1,55,0,0,0,1,0,0,2,0,Iowa,4,3,1,,,,
HM163,Tracey Mann,1,2,1,1,48,0,0,0,1,0,0,2,0,Kansas,4,3,1,,,,
HM164,Derek Schmidt,1,1,1,1,56,0,0,0,1,0,0,1,0,Kansas,3,3,1,,,,
HM165,Sharice Davids,2,3,0,1,44,5,6,0,1,1,2,1,0,Kansas,0,3,1,,,,
HM166,Ron Estes,1,4,1,1,67,0,0,0,1,0,0,2,0,Kansas,3,3,1,,,,
HM167,"James Comer (R, 1st) House of Representatives",1,4,1,1,52,0,0,1,1,0,0,2,0,Kentucky,3,1,1,,,,
HM168,"Brett Guthrie (R, 2nd) House of Representatives",1,8,1,1,59,0,0,0,1,0,0,3,0,Kentucky,2,3,1,,,,
HM169,"Morgan McGarvey (D, 3rd) House of Representatives",2,1,1,1,44,0,0,0,1,1,2,1,1,Kentucky,3,3,1,,,,
HM170,"Thomas Massie (R, 4th) House of Representatives",1,6,1,1,53,0,0,0,1,0,0,3,1,Kentucky,4,3,1,,,,
HM171,"Harold Rogers (R, 5th) House of Representatives",1,22,1,1,86,0,0,1,1,0,0,2,0,Kentucky,2,3,1,,,,
HM172,"Andy Barr (R, 6th)",1,6,1,1,51,0,0,0,1,1,1,1,0,Kentucky,2,3,1,,,,
HM173,"Steve Scalise (R, 1st) House of Representatives",1,9,1,1,59,0,0,3,1,0,0,2,0,Louisiana,2,3,1,,,,
HM174,"Troy Carter (D, 2nd) House of Representatives",2,2,1,1,61,1,0,0,1,1,2,0,0,Louisiana,2,3,1,,,,
HM175,"Clay Higgins (R, 3rd) House of Representatives",1,5,1,1,62,0,0,0,1,0,0,2,0,Louisiana,4,1,1,,,,
HM176,"Mike Johnson (R, 4th) House of Representatives",1,5,1,1,52,0,0,2,1,0,0,1,0,Louisiana,4,3,1,,,,
HM177,"Julia Letlow (R, 5th) House of Representatives",1,2,0,1,43,0,0,0,1,1,0,0,0,Louisiana,2,3,1,,,,
HM178,"Cleo Fields (D, 6th)",2,2,1,1,62,1,0,0,1,1,2,1,0,Louisiana,3,3,1,,,,
HM179,"Chellie Pingree (D, 1st) House of Representatives",2,8,0,1,69,0,0,0,1,1,1,0,0,Maine,1,1,1,,,,
HM180,"Jared Golden (D, 2nd)",2,3,1,1,42,0,0,0,1,0,0,0,0,Maine,2,1,1,,,,
HM181,"Andy Harris (R, 1st) House of Representatives",1,7,1,1,67,0,0,0,1,0,0,3,1,Maryland,5,3,1,,,,
HM182,"Johnny Olszewski (D, 2nd) House of Representatives",2,0,1,1,41,0,0,0,1,1,2,2,0,Maryland,2,3,1,,,,
HM183,"Sarah Elfreth (D, 3rd) House of Representatives",2,0,0,1,36,0,0,0,1,1,2,2,0,Maryland,1,3,1,,,,
HM184,"Glenn Ivey (D, 4th) House of Representatives",2,1,1,1,63,1,0,0,1,1,2,1,1,Maryland,4,3,1,,,,
HM185,"Steny Hoyer (D, 5th) House of Representatives",2,21,1,1,85,0,0,3,1,0,1,1,1,Maryland,3,3,1,,,,
HM186,"April McClain Delaney (D, 6th) House of Representatives",2,0,0,1,59,0,0,0,2,1,1,2,1,Maryland,4,3,1,,,,
HM187,"Kweisi Mfume (D, 7th) House of Representatives",2,9,1,1,75,1,0,0,1,1,1,2,0,Maryland,2,3,1,,,,
HM188,"Jamie Raskin (D, 8th)",2,5,1,1,62,0,2,0,1,1,2,1,1,Maryland,3,3,1,,,,
HM189,"Richard Neal (D, 1st) House of Representatives",2,17,1,1,75,0,0,1,1,0,1,0,0,Massachusetts,4,3,1,,,,
HM190,"James McGovern (D, 2nd) House of Representatives",2,13,1,1,65,0,0,0,1,1,2,0,0,Massachusetts,2,3,1,,,,
HM191,"Lori Trahan (D, 3rd) House of Representatives",2,3,0,1,50,0,0,0,1,1,2,2,0,Massachusetts,2,3,1,,,,
HM192,"Jake Auchincloss (D, 4th) House of Representatives",2,2,1,1,36,0,0,0,1,0,2,3,1,Massachusetts,3,3,1,,,,
HM193,"Katherine Clark (D, 5th) House of Representatives",2,6,0,1,61,0,0,3,1,1,2,1,1,Massachusetts,3,3,1,,,,
HM194,"Seth Moulton (D, 6th) House of Representatives",2,5,1,1,45,0,0,0,1,0,2,3,1,Massachusetts,2,3,1,,,,
HM195,"Ayanna Pressley (D, 7th) House of Representatives",2,3,0,1,50,1,6,0,1,1,2,1,0,Massachusetts,0,3,1,,,,
HM196,"Stephen Lynch (D, 8th) House of Representatives",2,12,1,1,69,0,0,0,1,1,1,0,0,Massachusetts,3,3,1,,,,
HM197,"William Keating (D, 9th)",2,7,1,1,72,0,0,0,1,1,1,1,0,Massachusetts,2,3,1,,,,
HM198,"Jack Bergman (R, 1st) House of Representatives",1,4,1,1,77,0,0,0,1,0,0,3,0,Michigan,3,3,1,,,,
HM199,"John Moolenaar (R, 2nd) House of Representatives",1,5,1,1,63,0,0,0,1,0,0,2,0,Michigan,4,3,1,,,,
HM200,"Hillary Scholten (D, 3rd) House of Representatives",2,2,0,1,43,0,0,0,1,1,2,1,0,Michigan,2,3,1,,,,
HM201,"Bill Huizenga (R, 4th) House of Representatives",1,7,1,1,55,0,0,1,1,0,0,2,1,Michigan,5,1,1,,,,
HM202,"Tim Walberg (R, 5th) House of Representatives",1,8,1,1,74,0,0,0,1,0,0,2,0,Michigan,2,3,1,,,,
HM203,"Debbie Dingell (D, 6th) House of Representatives",2,5,0,1,72,0,0,0,1,1,1,2,1,Michigan,0,3,1,,,,
HM204,"Tom Barrett (R, 7th) House of Representatives",1,1,1,1,43,0,0,0,1,0,0,4,0,Michigan,2,1,1,,,,
HM205,"Kristen McDonald Rivet (D, 8th) House of Representatives",2,1,0,1,52,0,0,0,1,1,1,2,0,Michigan,6,3,1,,,,
HM206,"Lisa McClain (R, 9th) House of Representatives",1,2,0,1,58,0,0,0,1,1,1,2,0,Michigan,4,1,1,,,,
HM207,"John James (R, 10th) House of Representatives",1,1,1,1,44,1,0,0,1,0,1,2,0,Michigan,3,1,1,,,,
HM208,"Haley Stevens (D, 11th) House of Representatives",2,3,0,1,41,0,2,0,1,1,2,2,0,Michigan,0,3,1,,,,
HM209,"Rashida Tlaib (D, 12th) House of Representatives",2,4,0,1,48,5,6,0,1,1,2,2,0,Michigan,2,1,1,,,,
HM210,"Shri Thanedar (D, 13th)",2,1,1,5,69,3,6,0,1,1,2,4,1,Michigan,2,3,1,,,,
HM211,"Brad Finstad (R, 1st) House of Representatives",1,2,1,1,48,0,0,0,1,1,0,2,0,Minnesota,7,1,1,,,,
HM212,"Angie Craig (D, 2nd) House of Representatives",2,4,0,1,53,0,5,0,1,1,1,2,1,Minnesota,4,1,1,,,,
HM213,"Kelly Morrison (D, 3rd) House of Representatives",2,1,0,1,56,0,0,0,1,1,1,3,1,Minnesota,3,3,1,,,,
